,Scrapedate,ranking,Country_Other,Total_Case,New_Cases,Total_Death,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1m_pop,Population
0,2021-03-24,,"

",721,,15.0,,706.0,,0.0,0.0,,,,,
1,2021-03-24,,"
Africa
",4168936,10961.0,111074.0,329.0,3725951.0,8697.0,331911.0,2742.0,,,,,
2,2021-03-24,,"
Asia
",27367776,145539.0,419697.0,1129.0,25356774.0,91600.0,1591305.0,24193.0,,,,,
3,2021-03-24,,"
Oceania
",54948,381.0,1120.0,3.0,34482.0,7.0,19346.0,7.0,,,,,
4,2021-03-24,,"
South America
",20352376,131205.0,526837.0,2823.0,18169578.0,117650.0,1655961.0,19872.0,,,,,
295,2021-03-25,128.0,Eswatini,17312,6.0,666.0,,16313.0,63.0,333.0,6.0,14810.0,570.0,169857.0,145306.0,1168957.0
296,2021-03-25,68.0,Ethiopia,196621,2097.0,2769.0,28.0,152508.0,1336.0,41344.0,769.0,1680.0,24.0,2316739.0,19795.0,117034261.0
297,2021-03-25,195.0,Faeroe Islands,661,,1.0,,660.0,,0.0,,13490.0,20.0,239854.0,4895079.0,48999.0
298,2021-03-25,206.0,Falkland Islands,54,,,,54.0,,0.0,,15194.0,,7125.0,2004783.0,3554.0
299,2021-03-25,205.0,Fiji,67,,2.0,,64.0,,1.0,,74.0,2.0,34782.0,38595.0,901206.0
300,2021-03-25,96.0,Finland,74754,512.0,817.0,2.0,46000.0,,27937.0,59.0,13476.0,147.0,3871752.0,697985.0,5547044.0
301,2021-03-25,5.0,France,4465956,41869.0,94275.0,363.0,288062.0,1455.0,4083619.0,4766.0,68308.0,1442.0,61991132.0,948172.0,65379596.0
302,2021-03-25,129.0,French Guiana,16922,,89.0,,9995.0,,6838.0,6.0,55608.0,292.0,158139.0,519668.0,304308.0
303,2021-03-25,124.0,French Polynesia,18607,2.0,141.0,,4842.0,,13624.0,2.0,65959.0,500.0,26355.0,93425.0,282099.0
304,2021-03-25,125.0,Gabon,18426,,109.0,,15863.0,,2454.0,33.0,8139.0,48.0,613559.0,271013.0,2263944.0
305,2021-03-25,158.0,Gambia,5365,62.0,163.0,2.0,4990.0,64.0,212.0,3.0,2176.0,66.0,54292.0,22017.0,2465957.0
306,2021-03-25,49.0,Georgia,279446,419.0,3738.0,6.0,271585.0,307.0,4123.0,,70150.0,938.0,3251308.0,816187.0,3983534.0
307,2021-03-25,10.0,Germany,2754002,21872.0,76303.0,187.0,2467600.0,11400.0,210099.0,3209.0,32793.0,909.0,48979281.0,583221.0,83980634.0
308,2021-03-25,91.0,Ghana,90094,95.0,740.0,3.0,86749.0,128.0,2605.0,40.0,2856.0,23.0,981024.0,31099.0,31545457.0
309,2021-03-25,164.0,Gibraltar,4273,1.0,94.0,,4161.0,,18.0,1.0,126855.0,2791.0,209812.0,6228833.0,33684.0
310,2021-03-25,55.0,Greece,249458,1466.0,7754.0,53.0,211872.0,,29832.0,707.0,24020.0,747.0,6318789.0,608421.0,10385560.0
311,2021-03-25,210.0,Greenland,31,,,,31.0,,0.0,,545.0,,19792.0,348193.0,56842.0
312,2021-03-25,202.0,Grenada,155,1.0,1.0,,152.0,1.0,2.0,,1373.0,9.0,23989.0,212469.0,112906.0
313,2021-03-25,138.0,Guadeloupe,11298,,165.0,,2242.0,,8891.0,8.0,28233.0,412.0,149795.0,374325.0,400174.0
314,2021-03-25,69.0,Guatemala,192133,926.0,6775.0,10.0,174343.0,578.0,11015.0,5.0,10582.0,373.0,1034968.0,57000.0,18157269.0
315,2021-03-25,122.0,Guinea,19403,171.0,116.0,3.0,16270.0,80.0,3017.0,24.0,1449.0,9.0,173934.0,12988.0,13391527.0
316,2021-03-25,171.0,Guinea-Bissau,3615,8.0,61.0,,2921.0,10.0,633.0,16.0,1806.0,30.0,57818.0,28882.0,2001842.0
317,2021-03-25,142.0,Guyana,10007,109.0,225.0,2.0,8801.0,80.0,981.0,11.0,12678.0,285.0,86516.0,109606.0,789337.0
318,2021-03-25,133.0,Haiti,12736,,251.0,,10754.0,,1731.0,,1107.0,22.0,54379.0,4727.0,11504198.0
319,2021-03-25,71.0,Honduras,185484,663.0,4527.0,21.0,70427.0,492.0,110530.0,461.0,18512.0,452.0,502240.0,50126.0,10019634.0
320,2021-03-25,137.0,Hong Kong,11440,11.0,205.0,1.0,11023.0,29.0,212.0,10.0,1517.0,27.0,9296529.0,1232708.0,7541547.0
321,2021-03-25,32.0,Hungary,614612,11265.0,19499.0,275.0,392314.0,4744.0,202799.0,1480.0,63741.0,2022.0,4443610.0,460845.0,9642302.0
322,2021-03-25,157.0,Iceland,6163,5.0,29.0,,6039.0,,95.0,1.0,17975.0,85.0,531242.0,1549411.0,342867.0
323,2021-03-25,3.0,India,11908373,62291.0,161275.0,292.0,11292849.0,30346.0,454249.0,8944.0,8568.0,116.0,238604638.0,171666.0,1389938347.0
324,2021-03-25,20.0,Indonesia,1487541,4982.0,40166.0,85.0,1322878.0,5679.0,124497.0,,5397.0,146.0,12422800.0,45069.0,275640645.0
325,2021-03-25,15.0,Iran,1838803,7980.0,62223.0,81.0,1577408.0,7711.0,199172.0,3908.0,21689.0,734.0,12481917.0,147229.0,84779068.0
326,2021-03-25,27.0,Iraq,822095,6490.0,14157.0,29.0,736747.0,4495.0,71191.0,472.0,20110.0,346.0,7835444.0,191672.0,40879544.0
327,2021-03-25,59.0,Ireland,233327,569.0,4651.0,20.0,23364.0,,205312.0,67.0,46870.0,934.0,3915728.0,786583.0,4978147.0
328,2021-03-25,186.0,Isle of Man,1551,6.0,27.0,1.0,851.0,,673.0,12.0,18169.0,316.0,44761.0,524361.0,85363.0
329,2021-03-25,26.0,Israel,831383,538.0,6165.0,2.0,814505.0,1491.0,10713.0,479.0,90391.0,670.0,13379821.0,1454709.0,9197590.0
330,2021-03-25,7.0,Italy,3488619,23987.0,107256.0,457.0,2814652.0,19764.0,566711.0,3628.0,57762.0,1776.0,48463509.0,802423.0,60396434.0
331,2021-03-25,106.0,Ivory Coast,42468,394.0,229.0,,38246.0,449.0,3993.0,,1581.0,9.0,502125.0,18699.0,26853250.0
332,2021-03-25,110.0,Jamaica,37458,330.0,557.0,11.0,16848.0,109.0,20053.0,46.0,12609.0,188.0,271699.0,91461.0,2970652.0
333,2021-03-25,39.0,Japan,462840,1943.0,8967.0,29.0,438879.0,1177.0,14994.0,323.0,3668.0,71.0,9555049.0,75719.0,126191515.0
334,2021-03-25,35.0,Jordan,577734,6444.0,6374.0,97.0,468037.0,4144.0,103323.0,729.0,56215.0,620.0,5705121.0,555119.0,10277294.0
335,2021-03-25,57.0,Kazakhstan,237300,1100.0,2952.0,,214714.0,971.0,19634.0,221.0,12528.0,156.0,8428775.0,445002.0,18940998.0
336,2021-03-25,80.0,Kenya,128178,2008.0,2098.0,6.0,91513.0,245.0,34567.0,124.0,2346.0,38.0,1455061.0,26633.0,54633685.0
337,2021-03-25,61.0,Kuwait,225980,1548.0,1270.0,12.0,210024.0,1253.0,14686.0,242.0,52350.0,294.0,2015114.0,466817.0,4316712.0
338,2021-03-25,93.0,Kyrgyzstan,87858,100.0,1494.0,,84469.0,62.0,1895.0,16.0,13306.0,226.0,831791.0,125976.0,6602771.0
339,2021-03-25,207.0,Laos,49,,,,45.0,,4.0,,7.0,,129999.0,17680.0,7352700.0
340,2021-03-25,86.0,Latvia,100114,638.0,1867.0,3.0,90537.0,,7710.0,69.0,53514.0,998.0,1828388.0,977326.0,1870807.0
341,2021-03-25,40.0,Lebanon,455381,3100.0,6013.0,49.0,356820.0,3478.0,92548.0,978.0,66939.0,884.0,3487759.0,512684.0,6802939.0
342,2021-03-25,139.0,Lesotho,10686,,315.0,,4438.0,,5933.0,,4959.0,146.0,65807.0,30541.0,2154693.0
343,2021-03-25,182.0,Liberia,2042,,85.0,,1899.0,,58.0,2.0,397.0,17.0,79684.0,15490.0,5144173.0
344,2021-03-25,75.0,Libya,156116,884.0,2602.0,11.0,143697.0,1064.0,9817.0,,22496.0,375.0,842538.0,121410.0,6939591.0
345,2021-03-25,175.0,Liechtenstein,2645,3.0,56.0,,2553.0,4.0,36.0,,69226.0,1466.0,29848.0,781198.0,38208.0
346,2021-03-25,64.0,Lithuania,212676,816.0,3529.0,6.0,196504.0,437.0,12643.0,141.0,78938.0,1310.0,2304536.0,855361.0,2694227.0
347,2021-03-25,100.0,Luxembourg,60465,260.0,738.0,2.0,56318.0,274.0,3409.0,19.0,95459.0,1165.0,2353848.0,3716135.0,633413.0
348,2021-03-25,208.0,Macao,48,,,,48.0,,0.0,,73.0,,4369.0,6662.0,655805.0
