,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
117,Zimbabwe,"36,778",29,"1,518 ",+2,"34,555",+79,705,13,"2,448",101,"372,334","24,788","15,021,008 "
118,Malawi,"33,387",33,"1,108 ",+3,"29,260",+7,"3,019",31,"1,713",57,"215,081","11,036","19,489,214 "
119,Sudan,"29,661",,"2,028 ",,"23,990",,"3,643",,665,45,"231,694","5,196","44,594,229 "
120,Australia,"29,228",10,909 ,,"26,257",+4,"2,062",,"1,137",35,"15,327,694","596,029","25,716,344 "
121,Malta,"28,612",102,378 ,+1,"26,148",+291,"2,086",,"64,673",854,"795,647","1,798,450","442,407 "
122,Thailand,"28,443",97,92 ,,"26,946",+73,"1,405",1,407,1,"8,014,926","114,616","69,928,605 "
123,DRC,"27,729",69,726 ,,"25,355",+69,"1,648",,303,8,,,"91,535,918 "
124,Maldives,"23,091",162,66 ,,"20,439",+80,"2,586",103,"42,176",121,"627,306","1,145,785","547,490 "
125,Madagascar,"23,040",196,369 ,+6,"21,372",+90,"1,299",23,817,13,"137,929","4,890","28,208,425 "
126,Angola,"21,914",78,532 ,,"20,190",+18,"1,192",18,652,16,"412,654","12,279","33,607,400 "
127,Rwanda,"21,210",104,298 ,+1,"19,540",+99,"1,372",1,"1,609",23,"1,102,728","83,631","13,185,681 "
128,Mayotte,"19,306",82,154 ,,"2,964",,"16,188",16,"69,545",555,"147,985","533,081","277,603 "
129,Guinea,"19,232",148,113 ,,"16,190",+58,"2,929",24,"1,436",8,"171,746","12,825","13,391,527 "
130,French Polynesia,"18,605",7,141 ,,"4,842",,"13,622",2,"65,952",500,"26,355","93,425","282,099 "
131,Gabon,"18,426",,109 ,,"15,863",,"2,454",33,"8,139",48,"613,559","271,013","2,263,944 "
132,Syria,"18,046",150,"1,206 ",+11,"12,022",+115,"4,818",,"1,013",68,,,"17,809,863 "
133,Mauritania,"17,712",22,447 ,,"16,962",+15,303,14,"3,738",94,"197,854","41,755","4,738,463 "
134,Eswatini,"17,306",5,666 ,,"16,250",+75,390,36,"14,805",570,"169,393","144,910","1,168,957 "
135,French Guiana,"16,922",,89 ,,"9,995",,"6,838",6,"55,608",292,"158,139","519,668","304,308 "
136,Cabo Verde,"16,787",126,164 ,+1,"15,936",+47,687,23,"29,955",293,"125,300","223,588","560,406 "
137,Réunion,"15,561",,102 ,,"14,064",,"1,395",57,"17,290",113,"98,785","109,762","899,996 "
138,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,373",9,,,"9,693,589 "
139,Haiti,"12,736",4,251 ,,"10,754",,"1,731",,"1,107",22,"54,379","4,727","11,504,198 "
140,Burkina Faso,"12,619",23,145 ,,"12,294",+25,180,,592,7,,,"21,319,531 "
141,Belize,"12,411",1,317 ,,"12,052",+5,42,,"30,805",787,"96,043","238,383","402,893 "
142,Andorra,"11,687",49,114 ,,"11,111",+29,462,12,"151,081","1,474","193,595","2,502,650","77,356 "
